iter	Logloss
0	0.682712928
1	0.6730148552
2	0.6641898631
3	0.6549741263
4	0.6465330191
5	0.638885185
6	0.6314030931
7	0.6237729881
8	0.6167540881
9	0.6095766269
10	0.6019955506
11	0.5943528928
12	0.5879283322
13	0.5813108066
14	0.5750524871
15	0.5689321019
16	0.563100705
17	0.5577326331
18	0.5522761186
19	0.5475660547
20	0.5426069938
21	0.5390931179
22	0.5345814184
23	0.5308942348
24	0.5264433615
25	0.5227598673
26	0.5184803087
27	0.5146694367
28	0.5112512057
29	0.5076248187
30	0.5041711085
31	0.500418255
32	0.4973191608
33	0.4936908054
34	0.4909691136
35	0.4873990075
36	0.4841235195
37	0.4816927464
38	0.4788949308
39	0.4763909914
40	0.4730853476
41	0.470620122
42	0.4684155479
43	0.4657850218
44	0.4630088945
45	0.4606055811
46	0.4586672643
47	0.4562972681
48	0.4539297531
49	0.4519647503
50	0.450276985
51	0.4482420868
52	0.44647358
53	0.4447510002
54	0.4426161043
55	0.4407069885
56	0.4387760172
57	0.4370056934
58	0.4353770549
59	0.4338560465
60	0.4320204979
61	0.4306913339
62	0.4292717122
63	0.4279452918
64	0.4268480841
65	0.4251760603
66	0.4239139618
67	0.4223387635
68	0.4209206243
69	0.4193825542
70	0.418339933
71	0.4170753522
72	0.4159239908
73	0.414778022
74	0.4136084056
75	0.4124712474
76	0.4110302184
77	0.4099132877
78	0.4088048441
79	0.407544101
80	0.4065515505
81	0.4056412032
82	0.4049634371
83	0.4039196613
84	0.4028529129
85	0.4021036167
86	0.4013388502
87	0.4005093154
88	0.3997971181
89	0.3990326963
90	0.3983278981
91	0.3975568803
92	0.3966251236
93	0.3960304415
94	0.3953658763
95	0.3945617717
96	0.3941274666
97	0.3935371967
98	0.3927196066
99	0.3922044987
