iter	Passed	Remaining
0	3	367
1	6	315
2	9	318
3	12	305
4	15	293
5	18	282
6	21	282
7	24	281
8	26	271
9	46	420
10	51	413
11	54	402
12	57	381
13	60	372
14	66	374
15	69	366
16	73	356
17	75	343
18	78	335
19	82	330
20	87	329
21	90	319
22	94	315
23	97	308
24	101	304
25	105	300
26	109	295
27	113	292
28	116	286
29	120	280
30	126	282
31	130	277
32	134	272
33	136	265
34	140	260
35	143	255
36	146	248
37	147	241
38	151	236
39	154	231
40	157	226
41	160	221
42	163	217
43	166	212
44	169	207
45	173	203
46	176	199
47	179	194
48	182	190
49	185	185
50	188	181
51	191	177
52	194	172
53	197	168
54	200	164
55	203	159
56	206	155
57	208	151
58	211	147
59	214	143
60	217	139
61	220	134
62	222	130
63	225	126
64	228	122
65	231	119
66	233	115
67	236	111
68	239	107
69	242	104
70	245	100
71	248	96
72	251	93
73	254	89
74	257	85
75	260	82
76	263	78
77	266	75
78	268	71
79	272	68
80	275	64
81	278	61
82	281	57
83	284	54
84	287	50
85	289	47
86	292	43
87	295	40
88	298	36
89	301	33
90	303	30
91	306	26
92	309	23
93	312	19
94	315	16
95	317	13
96	321	9
97	323	6
98	327	3
99	330	0
