iter	Passed	Remaining
0	0	72
1	1	72
2	2	76
3	2	66
4	3	63
5	4	66
6	5	68
7	6	80
8	7	79
9	8	77
10	9	80
11	11	83
12	16	110
13	17	107
14	17	101
15	19	99
16	19	95
17	19	91
18	20	89
19	21	84
20	22	82
21	22	80
22	22	76
23	23	75
24	24	74
25	34	97
26	34	93
27	34	89
28	35	85
29	35	82
30	35	79
31	35	76
32	35	72
33	36	69
34	36	67
35	36	64
36	36	62
37	37	61
38	38	59
39	38	57
40	38	55
41	38	53
42	39	51
43	39	49
44	39	48
45	39	46
46	40	45
47	40	43
48	40	42
49	40	40
50	41	39
51	41	38
52	42	37
53	42	36
54	42	34
55	42	33
56	43	32
57	43	31
58	43	30
59	43	28
60	43	27
61	43	26
62	43	25
63	44	24
64	44	23
65	44	22
66	44	21
67	44	20
68	44	20
69	44	19
70	44	18
71	45	17
72	45	16
73	45	16
74	46	15
75	46	14
76	46	13
77	46	13
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	48	8
85	48	7
86	48	7
87	48	6
88	48	6
89	48	5
90	49	4
91	49	4
92	49	3
93	49	3
94	49	2
95	49	2
96	50	1
97	50	1
98	50	0
99	50	0
